Cluster ID,Genres,files
0,IDM - Electronica,pFuTpFumd9s.mp3
0,Breakbeat,0InCN5ssSeM.mp3
0,Chill Out Lounge,kfRmrg0g060.mp3
0,Country Rock,tdsJI8Wc2D4.mp3
0,Dance Pop,qrO4YZeyl0I.mp3
0,Disco,eL8vHOAp9E8.mp3
0,Drum & Bass,cG7cRDcPY3k.mp3
0,Drum & Bass,s6BHQztjkuU.mp3
0,Dubstep,IUGzY-ihqWc.mp3
0,Dubstep,WSeNSzJ2-Jw.mp3
0,Dubstep,h3cE9iXIx9c.mp3
0,Dubstep,CDmWJbN8bDo.mp3
0,Dubstep,haas3N9vxsM.mp3
0,Dubstep,taJWCXQRye0.mp3
0,Jazz,vwwkjI65Q0A.mp3
0,Opera,y3xyp54bZqs.mp3
0,Pop Rock,GW3enefjwY0.mp3
0,Reggae,9PukqhfMxfc.mp3
0,Reggaeton,kJQP7kiw5Fk.mp3
0,Nu Metal,Jgk3u44W2i4.mp3
0,Rock,gGdGFtwCNBE.mp3
0,Rock,BR2JtsVumFA.mp3
0,Rural Blues,UaLEFkLlpy4.mp3
0,Speech,r3rZIWohyYE.mp3
0,Speech,QlzVpPf_juw.mp3
0,Speech,XmaCLxsTgOM.mp3
0,Speech,BRdKgaMLPaA.mp3
0,Speech,pRI6HsTLAjU.mp3
0,Speech,C3lMGhWFo-A.mp3
0,Speech,0j64SZhdoa0.mp3
0,Speech,0tYBeF4bhNQ.mp3
0,Speech,OB1wEhOgoVY.mp3
0,Speech,4Oj3__6qomo.mp3
0,Tech House,fJvatGfD9Pg.mp3
0,Techno,Ul-Jh_E1-uM.mp3
1,Alternative Rock,GhCXAiNz9Jo.mp3
1,Alternative Rock,PVyS9JwtFoQ.mp3
1,Alternative Rock,t2zb_iZC6nI.mp3
1,Alternative Rock,gEVi0IxC0yM.mp3
1,Alternative Rock,Pn-6eOxnEMI.mp3
1,Blues Rock,JAdCePtwoW4.mp3
1,Blues Rock,EXTDoVANaVA.mp3
1,Breakbeat,QPWsQ7utB2s.mp3
1,Blues,An4uDegHB8s.mp3
1,Electric Blues,UzxBuR-eKQk.mp3
1,Electro Body Music,FwgZ9RV4R_0.mp3
1,Electro Body Music,Oz_i9R2PqA0.mp3
1,Electro Body Music,-DJhXFJOFF8.mp3
1,Hard Rock,zUwEIt9ez7M.mp3
1,Hard Rock,uk_wUT1CvWM.mp3
1,Hard Rock,l482T0yNkeo.mp3
1,Hard Rock,qnkuBUAwfe0.mp3
1,Hard Rock,e8A9J94UWI8.mp3
1,Hard Rock,GurkREc-q4I.mp3
1,Hard Rock,qFhM1XZsh6o.mp3
1,Hard Rock,LMcDg2HwOnM.mp3
1,Indie Rock,g4Vp_P9d6O4.mp3
1,Jazz,gv_bkS5VVaA.mp3
1,Metal,uhBHL3v4d3I.mp3
1,Metal,jGwKzoSzHk0.mp3
1,Metal,yew9L0Xjm_g.mp3
1,Metal,4MiVtlhOW4U.mp3
1,Metal,nM__lPTWThU.mp3
1,Metal,9WzD80jwW10.mp3
1,Metal,EB32uwVNBLs.mp3
1,Metal,JiDnB-CrrNs.mp3
1,Metal,CgMl5nm1hpg.mp3
1,Alternative Rock,Pd9HKiUcioM.mp3
1,Noise Music,MQqt-CKdlfw.mp3
1,Nu Metal,vq-zaD1poAE.mp3
1,Nu Metal,4qlCC1GOwFw.mp3
1,Nu Metal,04F4xlWSFh0.mp3
1,Nu Metal,HQ4od5ulHqs.mp3
1,Nu Metal,QwCdLKJLQ1Q.mp3
1,Nu Metal,DWZayKSm-10.mp3
1,Nu Metal,-NlmyBQq6LY.mp3
1,Pop Rock,zZbytFtO2dQ.mp3
1,Pop Rock,N_MqfF0WBsU.mp3
1,Pop Rock,AVYYpNaSs2Y.mp3
1,Punk,iymtpePP8I8.mp3
1,Punk,AbDqXr6LbXo.mp3
1,Punk,eAqeA5Hc0K4.mp3
1,Punk,302oEzSPCqE.mp3
1,Punk,Pm2afuGAS1U.mp3
1,Punk,USKocNP6WIk.mp3
1,Punk,CinJuVtdp3Y.mp3
1,Rock,SwYN7mTi6HM.mp3
1,Nu Metal,FZLILV18ut8.mp3
1,Rock,Aiay8I5IPB8.mp3
1,Rock,-tJYN-eG1zk.mp3
1,Rock N Roll,SoaAb5MnKtY.mp3
1,Rock New Wave,s29RKnB7l7o.mp3
1,Rock New Wave,Ax0uia4pzxs.mp3
1,Rock New Wave,Z5-rdr0qhWk.mp3
1,Trip Hop,Gxa7VEGdbqQ.mp3
2,Alternative Rock,vxqWdSOVI9U.mp3
2,Alternative Rock,kTjfl0yhyRk.mp3
2,Rock,rP3ovD8ZSS4.mp3
2,Alternative Rock,JXkN3nJyWEA.mp3
2,Rock New Wave,fUiZHt6sqg4.mp3
2,Electric Blues,96o2yriYDZU.mp3
2,Electric Blues,jnttI7aEI0g.mp3
2,Electric Blues,fJJ4lI631Ng.mp3
2,Blues,RE0XhQ_BSkk.mp3
2,Blues Rock,Vppbdf-qtGU.mp3
2,Blues Rock,SUYo8PeO96g.mp3
2,Blues Rock,IB6B58z6MUo.mp3
2,Blues Rock,r4b4SU9I6tc.mp3
2,Blues Rock,_Mtt7eT-go4.mp3
2,Blues Rock,4Lk2KHajp4Y.mp3
2,Classical,5i3JAufC_-c.mp3
2,Country,KT0jTZAiN-g.mp3
2,Country,c-q7Mih69KE.mp3
2,Country Rock,3GeaYy6zlXU.mp3
2,Country Rock,lexhv8MaXQ8.mp3
2,Country Rock,oZyC-Z0Vw0M.mp3
2,Country Rock,9jhF92eHoYI.mp3
2,Country Rock,Dwpd_f4t8U8.mp3
2,Country Rock,TNpLSaCirj8.mp3
2,Country Rock,3umaLe37-LE.mp3
2,Blues,9sO-XP-ur1s.mp3
2,Blues,bSfqNEvykv0.mp3
2,Electric Blues,2XITBuWNROk.mp3
2,Blues,0vo23H9J8o8.mp3
2,Electric Blues,kUGEikZBHvo.mp3
2,Electric Blues,G27VKWgJeUE.mp3
2,Electric Blues,IibBmvF_Tv4.mp3
2,Folk,tIEV1OanDGY.mp3
2,Folk,s5BJXwNeKsQ.mp3
2,Gospel,_zK_ifCiqHI.mp3
2,Hard Rock,HQmmM_qwG4k.mp3
2,Hard Rock,Wr9ie2J2690.mp3
2,Indie Rock,bx1Bh8ZvH84.mp3
2,Indie Rock,y5l-GSDo72c.mp3
2,Indie Rock,vKlmwJZOrXM.mp3
2,Indie Rock,5Da9sc6YDBo.mp3
2,Indie Rock,CZXLLMbJdZ4.mp3
2,Big Band,p47fEXGabaY.mp3
2,New Wave,aQfC7Ow5GHo.mp3
2,Nu Metal,CSvFpBOe8eY.mp3
2,Nu Metal,YfjTZLxekig.mp3
2,Opera,bDWmnwITmTw.mp3
2,Pop,DUQ37gAwHtw.mp3
2,Pop Rock,iGR_bUYe-PA.mp3
2,Pop Rock,vx2u5uUu3DE.mp3
2,Pop Rock,J9gKyRmic20.mp3
2,Pop Rock,6NXnxTNIWkc.mp3
2,Pop Rock,Sfg6-4mBs6Y.mp3
2,Punk,pBJxS21CRdQ.mp3
2,Punk,GoA_zY6tqQw.mp3
2,Rock,9vwHuCC6nP8.mp3
2,Rock,nrIPxlFzDi0.mp3
2,Rock,AgfzaAS4gWM.mp3
2,Rock,0fAQhSRLQnM.mp3
2,Rock N Roll,poiH9oTmFt8.mp3
2,Rock N Roll,TJGina-Q764.mp3
2,Rock N Roll,CAFbqlldb4E.mp3
2,Rock N Roll,T1Ond-OwgU8.mp3
2,Rock New Wave,AE1ct5yEuVY.mp3
2,Rock New Wave,n3nPiBai66M.mp3
2,Rock New Wave,UrfFHzqGBZI.mp3
3,Dancehall,wH_0_pijbZY.mp3
3,Dancehall,YwSU0rcVTaE.mp3
3,Dancehall,iwBGQb_5SRw.mp3
3,Dancehall,eyRLSe3MEGI.mp3
3,Dancehall,SviZhEw3LJc.mp3
3,Dancehall,rtts83Fh5JM.mp3
3,Dancehall,fg1HZC0ncxw.mp3
3,Dancehall,-av7F1JBmj4.mp3
3,Dancehall,iTOQuIqAWEQ.mp3
3,Disco,qchPLaiKocI.mp3
3,Hip Hop,_CL6n0FJZpk.mp3
3,Hip Hop,JSzg2e8MutM.mp3
3,Hip Hop,41qC3w3UUkU.mp3
3,Hip Hop,rKTUAESacQM.mp3
3,Hip Hop,meXPbvp3ldg.mp3
3,Hip Hop,rjJWxFTZBK0.mp3
3,Hip Hop,6IS6g3_pp1I.mp3
3,Latin Pop - Latin Dance,UTh7f6tZMO4.mp3
3,Latin Pop - Latin Dance,63aAqNN2J50.mp3
3,Latin Pop - Latin Dance,8iPcqtHoR3U.mp3
3,Latin Pop - Latin Dance,7qix3jy5QdA.mp3
3,Latin Pop - Latin Dance,QfhqUgC2nM0.mp3
