Cluster ID,Genres,files
0,Bollywood,tzRFLMn4kpM.mp3
0,Bollywood,bPk9bSvQQoc.mp3
0,Bollywood,k7vNilNjAwE.mp3
0,Bollywood,MP4F0ZcW_G0.mp3
0,Bollywood,I08ex7M5WTw.mp3
0,Bollywood,IBvg3WeqP1U.mp3
0,Bollywood,PiqQAGTcrA0.mp3
0,Bollywood,Y8QH7a5YQFU.mp3
0,Salsa - Afro Cuban,ZFpCALtVUcE.mp3
0,Salsa - Afro Cuban,NnvFT5_Ltqg.mp3
0,Salsa - Afro Cuban,qYkpURie5cU.mp3
0,Salsa - Afro Cuban,v8g8pq-kHes.mp3
0,Salsa - Afro Cuban,Wj07dSnB-Ng.mp3
0,Salsa - Afro Cuban,TxRWQHCSmUg.mp3
0,Salsa - Afro Cuban,B_kAtTBUDIA.mp3
1,Ambient New Age,7wfYIMyS_dI.mp3
1,Ambient New Age,R-5f1ZUUsmY.mp3
1,Breakbeat,9tcwlCHSdGQ.mp3
1,Breakbeat,Le7-euWSdhI.mp3
1,Chanson Francaise,uGbSYohHcio.mp3
1,Chill Out Lounge,INn1C6ImJKg.mp3
1,Chill Out Lounge,OOCS52WIHtk.mp3
1,Chill Out Lounge,2KMo6WNEZuQ.mp3
1,Country Rock,khrx-zrG460.mp3
1,Dance Pop,1RHBAd5YUR8.mp3
1,Dance Pop,pwnefUaKCbc.mp3
1,Dance Pop,JmcA9LIIXWw.mp3
1,Dance Pop,l9ml3nyww80.mp3
1,Dancehall,YwSU0rcVTaE.mp3
1,Disco,SKSuUOwOMTA.mp3
1,Disco,Asj6zLq5BIY.mp3
1,Disco,QZh2WFIoUfA.mp3
1,Disco,LpIbgBChVgY.mp3
1,Disco,Om9CdilJETI.mp3
1,Disco,h1qQ1SKNlgY.mp3
1,Disco,qchPLaiKocI.mp3
1,Disco,nqxVMLVe62U.mp3
1,Disco,Lrle0x_DHBM.mp3
1,Dub,ZvYSYOKFCbk.mp3
1,Dub,cSGNuQQEMJw.mp3
1,Dub,ZcERFp7pOQQ.mp3
1,Dub,xt6VekCVrqg.mp3
1,Easy Listening,MPjhJXigOWc.mp3
1,Easy Listening,4SzthQDH1QA.mp3
1,Electro Pop,3tOVd6MA7Sw.mp3
1,Eurodance,XcEJ0H8mE9Y.mp3
1,Eurodance,ZyhrYis509A.mp3
1,Folk,qZP54bClDRw.mp3
1,Funk,JOD-M7WZkZQ.mp3
1,Funk,qOR2wcel2Yo.mp3
1,Funk,3sYUthjyTb8.mp3
1,Funk,l4nOHdUntyM.mp3
1,Funk,X8Ow1nlafOg.mp3
1,Funk,5bOxoe8qDGQ.mp3
1,Gospel,7CK1R1suY6U.mp3
1,Gospel,SmHtDQKyBMw.mp3
1,Gospel,ibPWDx3Z_8M.mp3
1,Hip Hop,meXPbvp3ldg.mp3
1,Hip Hop,LR3GQfryp9M.mp3
1,House,HSwda46cNMg.mp3
1,House,_raonMRuT54.mp3
1,House,aiumJ_nDkhs.mp3
1,Indie Rock,VYWtyJGq4vo.mp3
1,Indie Rock,q0HIxJtLI_Q.mp3
1,Industrial,rxFYGe4bMac.mp3
1,Latin Pop - Latin Dance,IKmPci5VXz0.mp3
1,New Wave,d5XJ2GiR6Bo.mp3
1,New Wave,cNEdxZURTaI.mp3
1,New Wave,uPudE8nDog0.mp3
1,New Wave,v9mJuqBipE0.mp3
1,Pop,SDTZ7iX4vTQ.mp3
1,Pop,EC7Re8cczj0.mp3
1,Pop,Q-0mLKNhFX0.mp3
1,Pop,A6sGf7mYSeY.mp3
1,Pop,S87jWwzvwd8.mp3
1,R&B - Nu Soul,nmdUMwlrezs.mp3
1,R&B - Nu Soul,qaEfEbKECRo.mp3
1,R&B - Nu Soul,y7mwZULsVcQ.mp3
1,R&B - Nu Soul,jsvp_LH90uI.mp3
1,R&B - Nu Soul,VsOPVCK745I.mp3
1,R&B - Nu Soul,DpIa0KBlLWU.mp3
1,R&B - Nu Soul,xEG8MsCSMU0.mp3
1,R&B - Nu Soul,amiXxFi-2TA.mp3
1,Reggae,vdB-8eLEW8g.mp3
1,Reggae,FdrMyZ9J6Tg.mp3
1,Reggae,ABc8ciT5QLs.mp3
1,Reggae,zXt56MB-3vc.mp3
1,Reggae,mWaovED4tcs.mp3
1,Reggae,q6fgVVlPl08.mp3
1,Reggae,ZBfSu4nGDfk.mp3
1,Reggae,4UkKrRWT4Ww.mp3
1,Reggae,BtjBODA1gYw.mp3
1,Rock N Roll,OAQ2jq6vwsE.mp3
1,Rock N Roll,QSA-yHzkvP8.mp3
1,Rock New Wave,15FfWj11uys.mp3
1,Rock New Wave,NuT5KUA7iaY.mp3
1,Samba - Bossa Nova - MPB,mLk4EH9FWwI.mp3
1,Samba - Bossa Nova - MPB,_ahsXzmmplU.mp3
1,Soul,GcrShxp8DPU.mp3
1,Soul,ae2iX6vZCoM.mp3
1,Soul,jSoPeZMHMf4.mp3
1,Soul,rjlSiASsUIs.mp3
1,Soul,0P2a6aLDkkM.mp3
1,Soul Jazz,AD7PQySHAZc.mp3
1,Soul Jazz,WOuI4OqJfQc.mp3
1,Soul Jazz,1nNOA2IKqII.mp3
1,Soul Jazz,ScNgrQ1EXr0.mp3
1,Techno,W0cMYteDA1w.mp3
1,Vocal Jazz,yJbT_YVPda0.mp3
2,Opera,y3xyp54bZqs.mp3
2,Pop Rock,GW3enefjwY0.mp3
2,Rock,BR2JtsVumFA.mp3
2,Rural Blues,UaLEFkLlpy4.mp3
3,Chanson Francaise,fztkUuunI7g.mp3
3,Concerto,XvFktwMqYlI.mp3
3,Concerto,qi9Mrulqy-Y.mp3
3,Easy Listening,Fskz0F9aN7Y.mp3
3,Easy Listening,CdVEwjGLEYk.mp3
3,Pop,cqZc7ZQURMs.mp3
3,Prelude,g9F4yAww9H0.mp3
